Ciclo: 5
5:,-,-,-,-,-,-,-,-,-,-,
4:,-,-,-,-,-,-,-,-,-,-,
3:,-,-,-,-,-,-,-,-,-,-,
2:,-,-,-,-,-,-,-,-,-,-,
1:,X,-,-,-,-,-,-,-,-,-,

Ciclo: 10
5:,-,-,-,-,-,-,-,-,-,-,
4:,-,-,-,-,-,-,-,-,-,-,
3:,-,-,-,-,-,-,-,-,-,-,
2:,-,-,-,-,-,-,-,-,-,-,
1:,X,X,-,-,-,-,-,-,-,-,

Ciclo: 15
5:,X,-,-,-,-,-,-,-,-,-,
4:,-,-,-,-,-,-,-,-,-,-,
3:,-,-,-,-,-,-,-,-,-,-,
2:,-,-,-,-,-,-,-,-,-,-,
1:,X,X,X,-,-,-,-,-,-,-,

Ciclo: 20
5:,X,-,-,-,-,-,-,-,-,-,
4:,-,-,-,-,-,-,-,-,-,-,
3:,-,-,-,-,-,-,-,-,-,-,
2:,-,-,-,-,-,-,-,-,-,-,
1:,X,X,X,X,-,-,-,-,-,-,

Ciclo: 25
5:,X,-,-,-,-,-,-,-,-,-,
4:,-,-,-,-,-,-,-,-,-,-,
3:,-,-,-,-,-,-,-,-,-,-,
2:,-,-,-,-,-,-,-,-,-,-,
1:,X,X,X,X,-,-,-,-,-,-,

Ciclo: 30
5:,-,-,-,-,-,-,-,-,-,-,
4:,-,-,-,-,-,-,-,-,-,-,
3:,-,-,-,-,-,-,-,-,-,-,
2:,-,-,-,-,-,-,-,-,-,-,
1:,X,-,X,X,-,-,-,-,-,-,

Ciclo: 35
5:,-,-,-,-,-,-,-,-,-,-,
4:,-,-,-,-,-,-,-,-,-,-,
3:,-,-,-,-,-,-,-,-,-,-,
2:,-,-,-,-,-,-,-,-,-,-,
1:,X,X,X,X,-,-,-,-,-,-,

Ciclo: 40
5:,-,-,-,-,-,-,-,-,-,-,
4:,-,-,-,-,-,-,-,-,-,-,
3:,-,-,-,-,-,-,-,-,-,-,
2:,-,-,-,-,-,-,-,-,-,-,
1:,X,X,X,X,X,X,-,-,-,-,

Ciclo: 45
5:,-,-,-,-,-,-,-,-,-,-,
4:,-,-,-,-,-,-,-,-,-,-,
3:,-,-,-,-,-,-,-,-,-,-,
2:,-,-,-,-,-,-,-,-,-,-,
1:,X,X,X,X,X,X,-,-,-,-,

Ciclo: 50
5:,-,-,-,-,-,-,-,-,-,-,
4:,-,-,-,-,-,-,-,-,-,-,
3:,-,-,-,-,-,-,-,-,-,-,
2:,-,-,-,-,-,-,-,-,-,-,
1:,X,X,X,-,X,X,X,-,-,-,

Ciclo: 55
5:,-,-,-,-,-,-,-,-,-,-,
4:,-,-,-,-,-,-,-,-,-,-,
3:,-,-,-,-,-,-,-,-,-,-,
2:,-,-,-,-,-,-,-,-,-,-,
1:,X,X,X,-,X,X,X,-,-,-,

Ciclo: 60
5:,-,-,-,-,-,-,-,-,-,-,
4:,-,-,-,-,-,-,-,-,-,-,
3:,-,-,-,-,-,-,-,-,-,-,
2:,-,-,-,-,-,-,-,-,-,-,
1:,X,-,X,-,-,X,X,-,-,-,

Ciclo: 65
5:,-,-,-,-,-,-,-,-,-,-,
4:,-,-,-,-,-,-,-,-,-,-,
3:,-,-,-,-,-,-,-,-,-,-,
2:,-,-,-,-,-,-,-,-,-,-,
1:,X,X,-,-,-,X,X,-,-,-,

Ciclo: 70
5:,-,-,-,-,-,-,-,-,-,-,
4:,-,-,-,-,-,-,-,-,-,-,
3:,-,-,-,-,-,-,-,-,-,-,
2:,-,-,-,-,-,-,-,-,-,-,
1:,X,X,X,-,-,X,-,-,-,-,

Ciclo: 75
5:,-,-,-,-,-,-,-,-,-,-,
4:,-,-,-,-,-,-,-,-,-,-,
3:,-,-,-,-,-,-,-,-,-,-,
2:,-,-,-,-,-,-,-,-,-,-,
1:,-,X,X,-,-,-,-,-,-,-,

Ciclo: 80
5:,-,-,-,-,-,-,-,-,-,-,
4:,-,-,-,-,-,-,-,-,-,-,
3:,-,-,-,-,-,-,-,-,-,-,
2:,-,-,-,-,-,-,-,-,-,-,
1:,X,X,X,X,-,-,-,-,-,-,

Ciclo: 85
5:,-,-,-,-,-,-,-,-,-,-,
4:,-,-,-,-,-,-,-,-,-,-,
3:,-,-,-,-,-,-,-,-,-,-,
2:,-,-,-,-,-,-,-,-,-,-,
1:,X,X,-,X,-,-,-,-,-,-,

Ciclo: 90
5:,-,-,-,-,-,-,-,-,-,-,
4:,-,-,-,-,-,-,-,-,-,-,
3:,-,-,-,-,-,-,-,-,-,-,
2:,-,-,-,-,-,-,-,-,-,-,
1:,X,X,X,X,-,-,-,-,-,-,

Ciclo: 95
5:,-,-,-,-,-,-,-,-,-,-,
4:,-,-,-,-,-,-,-,-,-,-,
3:,-,-,-,-,-,-,-,-,-,-,
2:,-,-,-,-,-,-,-,-,-,-,
1:,X,X,X,X,X,-,-,-,-,-,

Ciclo: 100
5:,-,-,-,-,-,-,-,-,-,-,
4:,-,-,-,-,-,-,-,-,-,-,
3:,-,-,-,-,-,-,-,-,-,-,
2:,-,-,-,-,-,-,-,-,-,-,
1:,-,X,X,-,X,X,-,-,-,-,

Ciclo: 105
5:,-,-,-,-,-,-,-,-,-,-,
4:,-,-,-,-,-,-,-,-,-,-,
3:,-,-,-,-,-,-,-,-,-,-,
2:,-,-,-,-,-,-,-,-,-,-,
1:,X,X,X,-,X,X,-,-,-,-,

Ciclo: 110
5:,-,-,-,-,-,-,-,-,-,-,
4:,-,-,-,-,-,-,-,-,-,-,
3:,-,-,-,-,-,-,-,-,-,-,
2:,-,-,-,-,-,-,-,-,-,-,
1:,X,X,X,-,X,X,-,-,-,-,

Ciclo: 115
5:,-,-,-,-,-,-,-,-,-,-,
4:,-,-,-,-,-,-,-,-,-,-,
3:,-,-,-,-,-,-,-,-,-,-,
2:,-,-,-,-,-,-,-,-,-,-,
1:,X,X,X,-,X,X,-,-,-,-,

Ciclo: 120
5:,-,-,-,-,-,-,-,-,-,-,
4:,-,-,-,-,-,-,-,-,-,-,
3:,-,-,-,-,-,-,-,-,-,-,
2:,-,-,-,-,-,-,-,-,-,-,
1:,X,X,X,-,-,X,-,-,-,-,

Ciclo: 125
5:,-,-,-,-,-,-,-,-,-,-,
4:,-,-,-,-,-,-,-,-,-,-,
3:,-,-,-,-,-,-,-,-,-,-,
2:,-,-,-,-,-,-,-,-,-,-,
1:,X,X,X,X,X,X,-,-,-,-,

Ciclo: 130
5:,-,-,-,-,-,-,-,-,-,-,
4:,-,-,-,-,-,-,-,-,-,-,
3:,-,-,-,-,-,-,-,-,-,-,
2:,-,-,-,-,-,-,-,-,-,-,
1:,X,X,X,X,X,X,X,X,-,-,

Ciclo: 135
5:,-,-,-,-,-,-,-,-,-,-,
4:,-,-,-,-,-,-,-,-,-,-,
3:,-,-,-,-,-,-,-,-,-,-,
2:,-,-,-,-,-,-,-,-,-,-,
1:,X,X,X,X,X,X,X,X,-,-,

Ciclo: 140
5:,-,-,-,-,-,-,-,-,-,-,
4:,-,-,-,-,-,-,-,-,-,-,
3:,-,-,-,-,-,-,-,-,-,-,
2:,-,-,-,-,-,-,-,-,-,-,
1:,X,X,X,X,X,X,X,X,-,-,

Ciclo: 145
5:,-,-,-,-,-,-,-,-,-,-,
4:,-,-,-,-,-,-,-,-,-,-,
3:,-,-,-,-,-,-,-,-,-,-,
2:,-,-,-,-,-,-,-,-,-,-,
1:,X,X,-,X,X,X,X,-,-,-,

Ciclo: 150
5:,-,-,-,-,-,-,-,-,-,-,
4:,-,-,-,-,-,-,-,-,-,-,
